epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,9.11669,3.21223,10.6024,3.667,4.31597,0,0.00617,0.6,0.00496,0.00112,0,0,0,0,2.85688,5.16847,3.55029,4.15531,0,0.00018,0.00018,0.00018
2,21.2922,3.40096,8.05132,3.51043,4.32499,0,0.00612,0.6,0.00692,0.00151,0,0,0,0,2.84866,5.17114,3.55228,4.15122,0,0.000372476,0.000372476,0.000372476
3,30.3476,3.39812,6.82392,3.46442,4.22959,0,0.00612,0.6,0.00638,0.00146,0,0,0,0,2.84247,5.17212,3.55354,4.14704,0,0.000557032,0.000557032,0.000557032
4,41.0007,3.23224,5.83495,3.52519,4.19593,0,0.00616,0.6,0.00793,0.00162,0,0,0,0,2.83985,5.17168,3.55697,4.14433,0,0.000733668,0.000733668,0.000733668
5,49.921,3.29897,6.01209,3.4281,4.16904,0,0.00584,0.6,0.00766,0.00168,0,0,0,0,2.83745,5.16559,3.5557,4.13677,0,0.000902384,0.000902384,0.000902384
6,61.4792,3.22386,5.573,3.40173,4.17018,0,0.00564,0.6,0.00915,0.00193,0,0,0,0,2.82996,5.15756,3.53799,4.12903,0,0.00106318,0.00106318,0.00106318
7,74.481,3.44382,5.41983,3.25924,4.16821,0,0.00564,0.6,0.00915,0.00193,0,0,0,0,2.82996,5.15756,3.53799,4.12903,0,0.00121606,0.00121606,0.00121606
8,86.9442,3.27515,5.33883,3.20037,4.13327,0,0.00565,0.6,0.0102,0.00242,0,0,0,0,2.81356,5.14249,3.54353,4.1121,0,0.00136101,0.00136101,0.00136101
9,100.639,3.46506,5.01593,3.19741,4.12897,0,0.00571,0.6,0.01417,0.00334,0.0019,0.2,0.00144,0.00014,2.75463,5.1029,3.44098,4.0714,0,0.00149805,0.00149805,0.00149805
10,113.053,3.30584,5.00545,3.21086,4.12382,0,0.00571,0.6,0.01417,0.00334,0.0019,0.2,0.00144,0.00014,2.75463,5.1029,3.44098,4.0714,0,0.00162716,0.00162716,0.00162716
11,125.076,3.24727,5.06634,3.18737,4.08164,0,0.00578,0.6,0.01095,0.00357,0.00193,0.2,0.00144,0.00014,2.63954,5.05076,3.49399,4.00592,0,0.001604,0.001604,0.001604
12,137.516,3.25867,4.873,3.14334,4.02647,0,0.00566,0.6,0.01475,0.00525,0.00189,0.2,0.00179,0.00036,2.46009,4.99092,3.58948,3.92411,0,0.0015644,0.0015644,0.0015644
13,150.213,3.13259,4.66939,3.12379,3.99266,0,0.00566,0.6,0.01475,0.00525,0.00189,0.2,0.00179,0.00036,2.46009,4.99092,3.58948,3.92411,0,0.0015248,0.0015248,0.0015248
14,164.475,3.3074,4.34536,3.03388,3.96129,0,0.0096,1,0.215,0.06442,0.00384,0.4,0.03292,0.00492,2.43617,4.91099,2.93486,3.62301,0,0.0014852,0.0014852,0.0014852
15,177.738,3.13172,4.69945,2.95189,3.94426,0,0.00745,1,0.26568,0.08886,0.00596,0.8,0.14759,0.01692,2.22195,4.83257,2.80463,3.43003,0,0.0014456,0.0014456,0.0014456
16,191.34,3.25016,4.57084,2.97418,3.90478,0,0.00745,1,0.26568,0.08886,0.00596,0.8,0.14759,0.01692,2.22195,4.83257,2.80463,3.43003,0,0.001406,0.001406,0.001406
17,203.939,3.29733,4.64034,2.90474,3.87284,0,0.17399,0.6,0.4681,0.16346,0.17399,0.6,0.45186,0.09822,2.02201,4.59419,3.42403,3.22298,0,0.0013664,0.0013664,0.0013664
18,214.332,3.0383,4.51258,2.86279,3.77387,0,0.17399,0.6,0.4681,0.16346,0.17399,0.6,0.45186,0.09822,2.02201,4.59419,3.42403,3.22298,0,0.0013268,0.0013268,0.0013268
19,224.686,3.12162,4.40245,2.84946,3.73651,0,0.58319,0.56638,0.50054,0.14761,0.41681,0.4,0.36288,0.18415,1.96404,4.16153,4.74911,3.28351,0,0.0012872,0.0012872,0.0012872
20,234.377,2.98518,4.67226,2.95664,3.78639,0,0.30829,0.4,0.37161,0.12407,0.59827,0.6,0.57201,0.16091,2.03193,5.30004,4.14543,3.2026,0,0.0012476,0.0012476,0.0012476
21,243.68,2.9889,4.52455,2.8657,3.70238,0,0.30829,0.4,0.37161,0.12407,0.59827,0.6,0.57201,0.16091,2.03193,5.30004,4.14543,3.2026,0,0.001208,0.001208,0.001208
22,253.287,3.02365,4.32675,2.79277,3.68475,0,0.33303,0.8,0.32226,0.09505,0.54038,0.6,0.43813,0.11847,2.05781,4.74603,3.97251,2.99533,0,0.0011684,0.0011684,0.0011684
23,262.996,3.00654,4.40553,2.73299,3.6569,0,0.51595,0.4,0.60243,0.15394,0.51595,0.4,0.55711,0.24799,2.17628,4.09204,4.99587,3.00845,0,0.0011288,0.0011288,0.0011288
