epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,8.50074,1.01883,2.50342,2.75807,1.21398,0,0.00478,1,0.895,0.855,0.00478,1,0.895,0.857,0.32854,0.51564,2.38961,0.7897,0,0.00018,0.00018,0.00018
2,17.1416,0.95731,1.94604,2.39431,1.17873,0,0.00446,1,0.995,0.833,0.00446,1,0.995,0.899,0.55108,0.45829,2.23305,0.84165,0,0.000372476,0.000372476,0.000372476
3,25.8463,0.80503,1.25988,1.73757,1.05112,0,0.72277,1,0.92833,0.74638,0.72277,1,0.92833,0.72368,0.55794,0.7206,1.67547,0.89136,0,0.000557032,0.000557032,0.000557032
4,34.5778,0.7677,1.24859,1.31404,1.05648,0,0.7956,1,0.92833,0.7755,0.7956,1,0.92833,0.85183,0.67548,0.62037,1.34787,0.8837,0,0.000733668,0.000733668,0.000733668
5,44.1439,0.79629,1.21008,1.23921,1.04951,0,0.79505,1,0.96167,0.83054,0.79505,1,0.96167,0.73383,0.46125,1.41648,1.21658,0.81827,0,0.000902384,0.000902384,0.000902384
6,53.6261,0.75539,1.20413,1.07132,1.03066,0,0.99583,1,0.995,0.82225,0.99583,1,0.995,0.6423,0.64035,1.79865,1.16493,0.86794,0,0.00106318,0.00106318,0.00106318
7,63.4738,0.7666,1.36081,1.05856,1.05413,0,0.99583,1,0.995,0.82225,0.99583,1,0.995,0.6423,0.64035,1.79865,1.16493,0.86794,0,0.00121606,0.00121606,0.00121606
8,72.5991,0.78701,1.4227,1.0938,1.07077,0,0.77538,1,0.96167,0.84692,0.77538,1,0.96167,0.82525,0.66109,1.217,1.13984,0.89082,0,0.00136101,0.00136101,0.00136101
9,82.1836,0.78768,1.19818,1.03099,1.08677,0,0.81301,1,0.96167,0.84692,0.81301,1,0.96167,0.61022,0.68487,2.69213,1.57872,0.92239,0,0.00149805,0.00149805,0.00149805
10,91.9148,0.75739,1.18651,1.01187,1.05158,0,0.81301,1,0.96167,0.84692,0.81301,1,0.96167,0.61022,0.68487,2.69213,1.57872,0.92239,0,0.00162716,0.00162716,0.00162716
11,101.583,0.91826,1.33431,1.16018,1.11088,0,0.71954,1,0.895,0.6995,0.71954,1,0.895,0.56437,0.71588,2.82601,3.12244,0.94772,0,0.001604,0.001604,0.001604
12,111.379,0.79743,1.15915,1.02134,1.0239,0,0.6988,1,0.93786,0.74735,0.6988,1,0.93786,0.67928,0.80176,1.70339,2.11917,1.02874,0,0.0015644,0.0015644,0.0015644
13,121.585,0.71286,1.13169,0.94927,1.02708,0,0.6988,1,0.93786,0.74735,0.6988,1,0.93786,0.67928,0.80176,1.70339,2.11917,1.02874,0,0.0015248,0.0015248,0.0015248
14,131.492,0.74008,1.06355,0.97089,1.03239,0,0.56467,0.8,0.895,0.7535,0.56467,0.8,0.895,0.66112,0.74539,1.39069,2.97126,1.09861,0,0.0014852,0.0014852,0.0014852
15,141.203,0.84218,1.12636,0.96215,1.07272,0,0.42696,1,0.92,0.703,0.42696,1,0.92,0.77448,0.78948,0.89968,3.67412,1.0579,0,0.0014456,0.0014456,0.0014456
16,151.351,0.80031,1.12703,0.90677,1.06131,0,0.42696,1,0.92,0.703,0.42696,1,0.92,0.77448,0.78948,0.89968,3.67412,1.0579,0,0.001406,0.001406,0.001406
17,161.394,0.7751,1.05966,0.95058,1.0695,0,0.49178,1,0.96167,0.74308,0.49178,1,0.96167,0.86167,0.68519,0.63097,2.67047,0.92112,0,0.0013664,0.0013664,0.0013664
18,173.148,0.74141,0.96347,0.86898,1.0182,0,0.49178,1,0.96167,0.74308,0.49178,1,0.96167,0.86167,0.68519,0.63097,2.67047,0.92112,0,0.0013268,0.0013268,0.0013268
19,185.04,0.72831,0.89913,0.83597,1.01657,0,0.51164,1,0.995,0.89525,0.51164,1,0.995,0.915,0.49003,0.59551,2.06124,0.85368,0,0.0012872,0.0012872,0.0012872
20,196.593,0.70968,0.96228,0.89174,1.0079,0,0.62059,1,0.995,0.7995,0.62059,1,0.995,0.935,0.63697,0.56261,1.9547,0.94217,0,0.0012476,0.0012476,0.0012476
21,207.833,0.68692,0.96807,0.87919,0.99175,0,0.62059,1,0.995,0.7995,0.62059,1,0.995,0.935,0.63697,0.56261,1.9547,0.94217,0,0.001208,0.001208,0.001208
22,222.818,0.68132,0.94955,0.85142,1.00933,0,0.80242,1,0.995,0.79843,0.80242,1,0.995,0.89525,0.81147,0.53034,1.60268,1.14206,0,0.0011684,0.0011684,0.0011684
23,236.748,0.6367,0.93704,0.80605,0.99234,0,0.97038,1,0.995,0.83345,0.97038,1,0.995,0.94012,0.67146,0.5202,0.99642,1.06724,0,0.0011288,0.0011288,0.0011288
24,248.603,0.73421,1.0662,0.9291,1.024,0,0.97038,1,0.995,0.83345,0.97038,1,0.995,0.94012,0.67146,0.5202,0.99642,1.06724,0,0.0010892,0.0010892,0.0010892
25,264.877,0.74465,0.93752,0.89566,1.03457,0,0.97868,1,0.995,0.87238,0.97868,1,0.995,0.92379,0.65152,0.61972,0.99378,1.01325,0,0.0010496,0.0010496,0.0010496
26,278.514,0.61924,0.92205,0.78689,0.9747,0,0.97868,1,0.995,0.87238,0.97868,1,0.995,0.92379,0.65152,0.61972,0.99378,1.01325,0,0.00101,0.00101,0.00101
27,292.354,0.70542,0.89497,0.86238,1.00237,0,0.98,1,0.995,0.87238,0.98,1,0.995,0.89527,0.62968,0.78743,1.02754,0.97061,0,0.0009704,0.0009704,0.0009704
28,306.423,0.63493,0.82005,0.78971,0.97629,0,0.96496,1,0.995,0.86838,0.96496,1,0.995,0.88394,0.55199,0.77039,1.05878,0.93399,0,0.0009308,0.0009308,0.0009308
29,320.299,0.66471,0.88421,0.75726,0.97882,0,0.96496,1,0.995,0.86838,0.96496,1,0.995,0.88394,0.55199,0.77039,1.05878,0.93399,0,0.0008912,0.0008912,0.0008912
30,333.626,0.6621,0.98209,0.79048,0.9759,0,0.91987,1,0.995,0.8793,0.91987,1,0.995,0.91362,0.52675,0.67779,1.17407,0.91899,0,0.0008516,0.0008516,0.0008516
31,351.154,0.62064,0.82629,0.80967,0.97337,0,0.88656,1,0.995,0.8635,0.88656,1,0.995,0.90833,0.5983,0.58291,1.29062,0.93798,0,0.000812,0.000812,0.000812
32,374.388,0.67665,0.91646,0.8213,0.99332,0,0.88656,1,0.995,0.8635,0.88656,1,0.995,0.90833,0.5983,0.58291,1.29062,0.93798,0,0.0007724,0.0007724,0.0007724
33,392.992,0.59182,0.76974,0.76924,0.95148,0,0.93035,1,0.995,0.838,0.93035,1,0.995,0.91037,0.59568,0.56379,1.23489,0.94356,0,0.0007328,0.0007328,0.0007328
34,412.851,0.58363,0.72397,0.80577,0.96511,0,0.93035,1,0.995,0.838,0.93035,1,0.995,0.91037,0.59568,0.56379,1.23489,0.94356,0,0.0006932,0.0006932,0.0006932
35,428.895,0.53115,0.71897,0.71154,0.96222,0,0.95213,1,0.995,0.838,0.95213,1,0.995,0.91233,0.53399,0.53792,1.16961,0.93456,0,0.0006536,0.0006536,0.0006536
36,444.84,0.56591,0.78725,0.7474,0.94833,0,0.96079,1,0.995,0.8992,0.96079,1,0.995,0.91389,0.50953,0.5079,1.07643,0.9311,0,0.000614,0.000614,0.000614
37,464.555,0.59126,0.94606,0.75837,0.99102,0,0.96079,1,0.995,0.8992,0.96079,1,0.995,0.91389,0.50953,0.5079,1.07643,0.9311,0,0.0005744,0.0005744,0.0005744
38,477.272,0.59594,0.75152,0.82122,0.98458,0,0.94913,1,0.995,0.8953,0.94913,1,0.995,0.91047,0.49639,0.47905,0.99345,0.92538,0,0.0005348,0.0005348,0.0005348
39,490.507,0.55324,0.73474,0.70264,0.94426,0,0.96936,1,0.995,0.8793,0.96936,1,0.995,0.945,0.50138,0.46945,0.89941,0.91448,0,0.0004952,0.0004952,0.0004952
40,503.729,0.58831,0.73657,0.78217,0.96377,0,0.96936,1,0.995,0.8793,0.96936,1,0.995,0.945,0.50138,0.46945,0.89941,0.91448,0,0.0004556,0.0004556,0.0004556
41,522.157,0.47744,0.71602,1.06515,0.91295,0,0.97446,1,0.995,0.86838,0.97446,1,0.995,0.945,0.51177,0.44527,0.94762,0.90575,0,0.000416,0.000416,0.000416
42,538.878,0.43689,0.55087,0.9148,0.86286,0,0.97446,1,0.995,0.86838,0.97446,1,0.995,0.945,0.51177,0.44527,0.94762,0.90575,0,0.0003764,0.0003764,0.0003764
43,553.285,0.49932,0.5389,0.89046,0.91625,0,0.87069,0.8,0.96167,0.865,0.87069,0.8,0.96167,0.915,0.51781,0.42866,1.1474,0.88731,0,0.0003368,0.0003368,0.0003368
44,567.56,0.42367,0.6346,0.79755,0.87244,0,0.78952,0.8,0.93786,0.83267,0.78952,0.8,0.93786,0.8887,0.51755,0.42275,1.23664,0.88331,0,0.0002972,0.0002972,0.0002972
45,580.756,0.42174,0.53634,0.74951,0.8451,0,0.78952,0.8,0.93786,0.83267,0.78952,0.8,0.93786,0.8887,0.51755,0.42275,1.23664,0.88331,0,0.0002576,0.0002576,0.0002576
46,595.775,0.4613,0.52432,0.8703,0.91211,0,0.80468,0.82806,0.96167,0.85362,0.80468,0.82806,0.96167,0.91012,0.50388,0.40841,1.25834,0.87681,0,0.000218,0.000218,0.000218
47,610.556,0.41549,0.49215,0.73935,0.85519,0,1,0.94973,0.995,0.87935,1,0.94973,0.995,0.94012,0.49189,0.41745,1.18829,0.89196,0,0.0001784,0.0001784,0.0001784
48,622.534,0.45791,0.56948,0.80333,0.88567,0,1,0.94973,0.995,0.87935,1,0.94973,0.995,0.94012,0.49189,0.41745,1.18829,0.89196,0,0.0001388,0.0001388,0.0001388
49,634.124,0.38934,0.50794,0.78428,0.85012,0,0.99804,1,0.995,0.87935,0.99804,1,0.995,0.91525,0.46569,0.42024,1.17639,0.87781,0,9.92e-05,9.92e-05,9.92e-05
50,646.757,0.40261,0.58516,0.7718,0.85863,0,0.99804,1,0.995,0.87935,0.99804,1,0.995,0.91525,0.46569,0.42024,1.17639,0.87781,0,5.96e-05,5.96e-05,5.96e-05
