epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,7.08943,0.85477,1.97946,4.88411,1.09956,0,0,0,0,0,0,0,0,0,0.40278,0.48338,4.59254,0.8065,0,0.00018,0.00018,0.00018
2,15.7358,0.92093,1.50602,4.43135,1.1215,0,0,0,0,0,0,0,0,0,0.54494,0.57975,4.24883,0.86053,0,0.00036119,0.00036119,0.00036119
3,24.0433,0.82143,1.27943,3.84179,1.05242,0,0.83333,1,0.995,0.8455,0.83333,1,0.995,0.8754,0.60514,0.76672,3.35839,0.92588,0,0.00052258,0.00052258,0.00052258
4,33.7864,0.81061,1.21645,3.24867,1.09229,0,0.625,1,0.995,0.8555,0.625,1,0.995,0.88038,0.69669,0.69546,2.72533,0.96394,0,0.00066417,0.00066417,0.00066417
5,45.4662,0.87016,1.13825,2.89856,1.08825,0,1,0.99859,0.995,0.8955,1,0.99859,0.995,0.975,0.4986,0.6007,1.26077,0.82926,0,0.00078596,0.00078596,0.00078596
6,55.2903,0.86775,1.04826,2.42628,1.09017,0,0.98635,1,0.995,0.8455,0.98635,1,0.995,0.945,0.59223,0.63753,1.01217,0.84067,0,0.00088795,0.00088795,0.00088795
7,64.3872,0.89349,1.18069,2.26842,1.0846,0,0.98635,1,0.995,0.8455,0.98635,1,0.995,0.945,0.59223,0.63753,1.01217,0.84067,0,0.00097014,0.00097014,0.00097014
8,74.5334,0.86586,1.07222,1.75571,1.08448,0,0.83239,0.99436,0.92833,0.76483,0.83239,0.99436,0.92833,0.84525,0.77987,0.65142,1.2062,0.94652,0,0.00103253,0.00103253,0.00103253
9,85.214,0.92271,1.10785,1.7477,1.15942,0,0.7075,1,0.81786,0.71055,0.7075,1,0.81786,0.77271,0.59843,0.54693,1.14047,0.88884,0,0.00107512,0.00107512,0.00107512
10,94.274,0.94336,1.08508,1.48136,1.1777,0,0.7075,1,0.81786,0.71055,0.7075,1,0.81786,0.77271,0.59843,0.54693,1.14047,0.88884,0,0.00109791,0.00109791,0.00109791
11,101.674,0.75284,0.93519,1.04267,1.09699,0,0.78557,1,0.92833,0.77017,0.78557,1,0.92833,0.90167,0.68112,0.50972,0.9957,0.9218,0,0.00101,0.00101,0.00101
12,108.647,0.68289,0.88374,1.19399,0.99235,0,0.67709,1,0.995,0.8157,0.67709,1,0.995,0.9312,0.67064,0.41136,1.28488,1.02252,0,0.000911,0.000911,0.000911
13,115.501,0.72056,0.81834,1.05703,1.06669,0,0.67709,1,0.995,0.8157,0.67709,1,0.995,0.9312,0.67064,0.41136,1.28488,1.02252,0,0.000812,0.000812,0.000812
14,123.16,0.71679,0.74653,0.9761,1.03735,0,0.76145,1,0.995,0.89793,0.76145,1,0.995,0.9591,0.52934,0.37813,1.22103,0.9238,0,0.000713,0.000713,0.000713
15,131.211,0.74092,0.7439,0.88634,1.08325,0,0.79445,1,0.995,0.8833,0.79445,1,0.995,0.9591,0.5529,0.37251,2.48557,1.01055,0,0.000614,0.000614,0.000614
16,139.279,0.62001,0.67465,0.86583,1.05195,0,0.79445,1,0.995,0.8833,0.79445,1,0.995,0.9591,0.5529,0.37251,2.48557,1.01055,0,0.000515,0.000515,0.000515
17,147.278,0.5282,0.64916,0.71024,0.96943,0,0.8824,1,0.995,0.8833,0.8824,1,0.995,0.995,0.49795,0.34664,2.26045,0.97888,0,0.000416,0.000416,0.000416
18,154.467,0.66127,0.72364,0.85099,1.05387,0,0.8824,1,0.995,0.8833,0.8824,1,0.995,0.995,0.49795,0.34664,2.26045,0.97888,0,0.000317,0.000317,0.000317
19,162.024,0.59927,0.56241,0.86731,1.04898,0,0.9826,1,0.995,0.89525,0.9826,1,0.995,0.995,0.49908,0.32781,1.33515,0.97482,0,0.000218,0.000218,0.000218
20,169.832,0.59913,0.75842,0.80892,1.04795,0,0.9883,1,0.995,0.93383,0.9883,1,0.995,0.9591,0.46706,0.32349,0.85111,0.94704,0,0.000119,0.000119,0.000119
