epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,237.428,1.43137,1.21491,1.07717,0.95685,0.96145,0.97043,0.68902,1.00142,61.1672,0.92292,0.000554645,0.000554645,0.000554645
2,458.416,0.97927,0.61306,0.91437,0.95929,0.97131,0.98414,0.78464,0.78143,47.5401,0.86715,0.00108833,0.00108833,0.00108833
3,677.8,0.8676,0.5394,0.88734,0.82719,0.98775,0.98611,0.80994,0.67084,62.5997,0.83874,0.00160001,0.00160001,0.00160001
4,896.932,0.79575,0.4955,0.87176,0.97202,0.97236,0.99035,0.84602,0.58672,13.1226,0.81912,0.00156798,0.00156798,0.00156798
5,1114.19,0.73626,0.45651,0.85776,0.96241,0.96553,0.99099,0.8515,0.57514,20.5245,0.81788,0.00153497,0.00153497,0.00153497
6,1333.65,0.70123,0.43573,0.85057,0.98509,0.97621,0.99326,0.87267,0.50832,1.16852,0.79922,0.00150197,0.00150197,0.00150197
7,1550.19,0.66778,0.41089,0.84421,0.98712,0.98525,0.99343,0.88102,0.49395,2.3289,0.79731,0.00146896,0.00146896,0.00146896
8,1768.66,0.64555,0.39617,0.83995,0.98778,0.98943,0.99291,0.88087,0.48526,1.90787,0.79635,0.00143595,0.00143595,0.00143595
9,1985.83,0.62105,0.37882,0.83489,0.98863,0.9898,0.99358,0.89394,0.43646,2.25921,0.78676,0.00140295,0.00140295,0.00140295
10,2200.98,0.59893,0.36602,0.83101,0.99225,0.99223,0.99423,0.90046,0.44556,17.9378,0.78793,0.00136994,0.00136994,0.00136994
11,2418.52,0.58904,0.36313,0.83038,0.99533,0.99536,0.99433,0.90637,0.41894,0.7752,0.78331,0.00133693,0.00133693,0.00133693
12,2636.72,0.57482,0.35116,0.82655,0.99639,0.99605,0.99428,0.91153,0.40509,0.43872,0.78012,0.00130393,0.00130393,0.00130393
13,2854.34,0.55936,0.34277,0.82422,0.99124,0.99102,0.99401,0.91002,0.40796,0.38994,0.78094,0.00127092,0.00127092,0.00127092
14,3070.19,0.55254,0.3376,0.8234,0.99401,0.99501,0.99414,0.91413,0.40237,8.46148,0.7799,0.00123791,0.00123791,0.00123791
15,3285.89,0.53575,0.32523,0.82055,0.99766,0.99784,0.99435,0.91846,0.38811,0.37391,0.77785,0.00120491,0.00120491,0.00120491
16,3501.11,0.52602,0.3238,0.81897,0.99609,0.99581,0.9943,0.92202,0.38367,0.5613,0.77664,0.0011719,0.0011719,0.0011719
17,3717.16,0.52259,0.31851,0.81759,0.99704,0.9963,0.99439,0.92942,0.35952,1.58686,0.77231,0.00113889,0.00113889,0.00113889
18,3931.98,0.51322,0.3158,0.81663,0.99738,0.99694,0.99443,0.923,0.37867,0.49767,0.77576,0.00110589,0.00110589,0.00110589
19,4146.64,0.50342,0.3067,0.81477,0.99778,0.99763,0.99442,0.93885,0.33564,0.2847,0.76885,0.00107288,0.00107288,0.00107288
20,4360.48,0.49423,0.30344,0.81361,0.99793,0.99819,0.99438,0.93621,0.34011,0.24502,0.7688,0.00103987,0.00103987,0.00103987
21,4574.89,0.48555,0.29933,0.81186,0.99826,0.99824,0.99433,0.93305,0.35263,0.30259,0.77088,0.00100687,0.00100687,0.00100687
22,4790.33,0.48236,0.29586,0.81163,0.99776,0.99809,0.99444,0.93405,0.34787,0.26227,0.77083,0.000973861,0.000973861,0.000973861
23,5004.21,0.46867,0.28859,0.80949,0.9979,0.99813,0.99449,0.9443,0.32045,0.31276,0.76639,0.000940855,0.000940855,0.000940855
24,5220.01,0.46427,0.28598,0.80938,0.99776,0.99797,0.99438,0.94502,0.31604,0.47669,0.7655,0.000907848,0.000907848,0.000907848
25,5435.28,0.46083,0.28664,0.80853,0.99536,0.99618,0.99429,0.94485,0.31557,4.2372,0.76561,0.000874842,0.000874842,0.000874842
26,5650.33,0.45388,0.28101,0.80712,0.99833,0.99844,0.99451,0.95293,0.29876,0.25429,0.76286,0.000841835,0.000841835,0.000841835
27,5867.16,0.45296,0.27771,0.80758,0.99819,0.99845,0.99442,0.95156,0.2978,0.26304,0.7628,0.000808828,0.000808828,0.000808828
28,6083.32,0.44321,0.27377,0.8059,0.99829,0.99806,0.99439,0.95125,0.30009,0.22251,0.76321,0.000775822,0.000775822,0.000775822
29,6298.03,0.43863,0.27043,0.80539,0.99795,0.99824,0.99448,0.95724,0.28509,0.24211,0.76051,0.000742815,0.000742815,0.000742815
30,6514.16,0.43296,0.26949,0.80423,0.99839,0.99824,0.99447,0.95815,0.28092,0.24561,0.75999,0.000709809,0.000709809,0.000709809
